,id,title,content,status,lecture_name,lecture_slide,postDate,tag,subject,user_id
10,25,postgresql 설치 관련 오류에 대해서 질문드립니다.,"안녕하세요, 지난 금요일부터 동일한 에러가 발생하여 구글링을 통해 해결하려 하는데 제시된 솔루션들로도해결되지 않아 결국 늦게나마 질문드리게 되었습니다,,,설치 마지막 부분에서 거의 95%쯤에 발생하는데, starting the database server… 부분에서 발생하는 오류 메시지입니다.웹에서 여러 사람들이 제공하는 솔루션은 새로운 계정의 도움을 빌려서 설치하는 것인데 이 마저도 제대로 해결되지않는 것 같아 질문드리게 되었습니다.감사합니다.",posted,Lecture 1: Course Introduction,1,2023. 3. 13 오후 9:29:00,PostgreSQL,1,
11,27,PK 설정 및 과제 관련 문의,"안녕하세요!우선 PK를 설정할 때 계좌번호와 같은 민감한 개인정보 등이 사용되도 괜찮은 지 궁금합니다.개인정보 문제로 암호화되어서 저장되어야한다면, PK로 설정하는 것이 적절하지 않아 식별번호를 새로 부여하는게 옳은 것일까요?둘째는 과제1의 데이터베이스 디자인 중 ""Relational schema of each tables""는 컬럼명과 데이터타입이 쓰여진 표를 그리는 것이 맞는지도 궁금합니다!감사합니다!",posted,Lecture 1: Course Introduction,1,2023. 3. 13 오후 9:47:00,과제1,1,
12,29,[mac os] pgAdmin4 설치버전 문제 및 해결방법,mac os 기준입니다.PostgreSQL을 최신버전으로 설치할 경우 pdAdmin4는 슬라이드에 안내된 버전이 아닌 v6.15 또는 그 이후 버전을 설치하여야 합니다.그러지 않을 경우 server > create 단계(슬라이드 p14)에서 'ServerManager' object has no attribute user_info.와 같은 오류 메세지가 뜨며 설정할 수 없습니다.만약 pdAdmin4를 슬라이드 안내된 버전인 v5.7을 사용하려면 PostgreSQL을 최신버전(15)이 아닌 14 또는 그 이전 버전을 사용하여야합니다.참고 : https://stackoverflow.com/questions/69378663/how-can-i-solve-servermanager-object-has-no-attribute-user-info-error-in-pos/74212726,posted,Lecture 1: Course Introduction,1,2023. 3. 14 오전 3:20:00,PostgreSQL,1,
13,30,Postgres Mac 설치과정 질문,안녕하세요 Connet to Postgres server (Mac) 을 하던 중 위와 같은 메시지가 떴습니다.혹시 Create - Serve r- General에 Name을 Postgres15 로 적어야 할까요?또 Connection에 Maintenance database에는 username 과 같은 것을 작성해야 되는 건가요? 감사합니다.,posted,Lecture 1: Course Introduction,1,2023. 3. 14 오후 2:14:00,PostgreSQL,1,
14,32,Beaver import csv to new table,"안녕하세요디비버 설치하고 import csv file 시도 해보는데, 걸어주신 링크로 서울 지하철 데이터다운 받고 import 하려니까 위와 같은 에러가 발생합니다.혹시 제가 다운 받은 특정한 저 파일만 깨지는 걸까요?감사합니다.",posted,Lecture 1: Course Introduction,1,2023. 3. 14 오후 2:50:00,DBeaver,1,
15,39,과제1 관련 질문,"안녕하세요, 과제 관련하여 몇가지 여쭤보고 싶은 사항이 있습니다.Relational schema를 Column Name과 Data Type으로 이루어진 테이블로 나타내면 되나요? 아니면 줄글 형태로(예: Students(Sid: integer, Name: archer..)) 표현해야 하나요?날짜 데이터의 Type을 Date, 시간 데이터(별도의 Column)의 Type은 Time으로 지정해도 되는지 궁금합니다.Relationship table에서 연결된 두 개의 Entity 값을 비교하는 Boolean 데이터도 가능한가요? 예를들어, Relationship table이 Student location과 Teacher location을 비교해서 같으면 True, 아닐경우 False를 리턴하는 column을 보유할 수 있는지요? 감사합니다!",posted,Lecture 1: Course Introduction,1,2023. 3. 14 오후 9:06:00,과제1,1,
16,43,Entity와 Relationship 구분과 관련하여 질문 드립니다.,"교수님 안녕하세요.정상희 학우님께서 게시판에 질문해주신 내용과 교수님의 답변(2023-03-10)을 보다가, Entity와 Relationship을 구분하는 방법이 궁금해졌습니다.예시로, User가 특정 Item을 주문한 데이터를 담는 'Order'라는 Table을 만든다고 가정해보았습니다.Order {Item_id(FK), User_id(FK), Order_time}[1번 질문]이때 주문에 따라 Order의 row가 생기는 것이라면, Order는 Item과 User간 relationship이 아니라, Order_time을 PK로 갖는 'Entity'라고 보는 것인가요?다르게 말하면, Item과 User의 조합(set)은 Order의 row에 중복되어 기록될 수 있기 때문에(같은 User가 동일한 Item을 여러번 사는 경우),이런 경우엔 Order를 Item과 User간의 relationship으로 볼 수 없고 별개의 Entity로 정의해야 하는 것인가요?(Lecture #3  p.8  Relationship에 관한 설명 ""Each row represents a single entity-entity relationship""을 만족하지 않는다고 보면 될까요?)  [2번 질문]이처럼 주문에 따라 row가 생기는 Entity라면, Order_time을 PK로 갖기 보다는 Order_id로 따로 PK를 만드는 것이 현업에서 더 일반적인지 궁금합니다.2가지 질문 답변주시길 부탁드리겠습니다.감사합니다!이유섭 드림",posted,Lecture 1: Course Introduction,1,2023. 3. 15 오전 10:13:00,DB Design,1,
17,45,Lecture 3 내용 문의드립니다,"안녕하세요,아래와 같이 Enroll relationship처럼 고유의 PK(예를들어 Enrollment ID) 대신 연결된 객체의 PK를 PK로 지정하는 것이 선호되나요?여기에서 Enroll relationship은 FK가 없다고 이해하면 되는지, 아니면 Sid, Cid가 PK이자 FK인지요?",posted,Lecture 1: Course Introduction,1,2023. 3. 15 오후 5:30:00,DB Design,1,
18,47,[과제1]웹사이트/앱 선택 기준,"안녕하세요. 과제 관련 질문이 있어 남깁니다.과제 1 설명 pdf에 'Select a live application or website that you are using'라는 문구가 있는데,혹시 실제로 운영되고 있지 않은 가상의 웹사이트/앱을 상상하여 DB를 디자인하는 것도 허용이 되는지 궁금합니다.감사합니다.",posted,Lecture 1: Course Introduction,1,2023. 3. 15 오후 6:01:00,과제 1,1,
19,49,3월16일_수업내용 질문,"오늘 수업 마지막에서 원본 테이블의 GPA데이터를 수정하니까 기존에 생성되었던 View가 바뀌는 것을 확인하였는데수업 초반부에 배웠던 logical data independence 개념과 혼동이 와서 질문글 올리게 되었습니다.conceptual schema에 수정작업을하여도 이미 생성된 view는 변하지 않는 것으로 logical data independence를 이해하고 있었습니다.질문그렇다면, 원본 테이블의 데이터를 수정하였을 때, 그 원본 테이블에서 파생되어 나온 view도 같이 수정되는 것은, 원본 테이블, 그리고 데이터 하나하나는 conceptual schema에 포함되지 않는 것으로 이해해도 괜찮을까요?그리고 수업에서 만들었던 students, courses, enrollment 테이블들은 View, conceptual schema, physical schema 중 어디에 속한다고 보는 것이 적당할까요?conceptual schema가 포함하는 개념은 딱 table들의 컬럼 이름, 데이터 타입, 고유키 여부, 외래키를 통해 연결되어있는 관계까지인가요?감사합니다!!",posted,Lecture 1: Course Introduction,1,2023. 3. 16 오후 3:55:00,DB Design,1,
20,52,Lecture 5 실습 질문입니다.,위에서 gpa 를 3 * gpa 값으로 select 했을 때 값이 이상하게 나오는 이유를 모르겠습니다. ,posted,Lecture 1: Course Introduction,1,2023. 3. 18 오후 8:42:00,Query,1,
21,54,과제 1 워크로드 시나리오,"안녕하세요? 수강생 조윤주입니다.과제 1의 B를 수행하는 중 질문이 있습니다. B번은 update 시나리오2개 select 시나리오 2개를 작성하는 것인데요.이중 update 시나리오에는 Insert 명령어로 테이블에 새로운 행(row)을 추가하는 것도 포함되는지 궁금합니다.예제로 적인 Order a food delivery 는 update 시나리오 예시로 봐도 될지 궁금합니다.만약 아니라면, 기존 데이터의 value를 변경(update)하는 시나리오만 생각해야하는지요? 추가설명 부탁드려도 될까요? (수업시간에 해주셨는데 제가 듣지 못했다면 죄송합니다ㅠ)감사합니다. ",posted,Lecture 1: Course Introduction,1,2023. 3. 19 오후 6:40:00,과제1,1,
22,56,primary key wlfans,"안녕하세요제가 primary key 가 헷갈려서 그런데 저희 슬라드에 있는 테이블을 예로 들자면sid , sname 은 (5366, smith 가 두 개의 row에 있기때메) key 가 될 수 없다고 보는 게 제대로 이해 한 것인가요 ? key 이면 모두 primary key 인 건가요?primary key 와 super key 는 배타적인 건가요? (즉 super key 이면 primary key 가 될 수 없다  가 옳은건가요?)감사합니다! ",posted,Lecture 1: Course Introduction,1,2023. 3. 20 오후 8:15:00,DB Design,1,
23,58,과제2 데이터 전처리 관련 질문,"웹에서 다운 받아온 데이터를 엑셀이나 판다스를 이용해서 가공한 후에 데이터베이스에 import해도 괜찮은지 여쭤보고 싶습니다.ex)원본 데이터에서 '주소' 열의 데이터가서울특별시 중구 정동 5-5 시청역(1호선)같은 형식으로 저장되어 있다면 이를 판다스를 이용해서 '구'      '동'중구    정동이런 식으로 텍스트를 파싱해서 두 개의 열을 추가하는 식의전처리를 진행해도 괜찮은지,아니면 원본 데이터의 수정 및 모든 과정이 sql을 통해 진행되어야 하는지 여쭤보고 싶습니다!감사합니다.",posted,Lecture 1: Course Introduction,1,2023. 3. 24 오전 1:03:00,과제1,1,
24,61,Inquiries regarding HW2,"Hi,HW2 requires data download from the internet. I would like to know if data exported from an real app is acceptable? If yes, since I am already doing this in HW1, does that means I can reuse the same dataset?Thank you so much.Oliver",posted,Lecture 1: Course Introduction,1,2023. 3. 27 오후 8:38:00,과제2,1,
25,64,과제 코멘트,과제1 점수에대한 코멘트는 어디서 볼 수 있나요? 고생하십니다.,posted,Lecture 1: Course Introduction,1,2023. 3. 28 오후 4:12:00,과제1,1,
26,65,Lecture 8 Storate (2) Dictionary Encoding 관련 질문,"Column store 방식으로 데이터를 저장했을 때, 메모리를 줄이기 위해 만드는 dictionary는 왜 sort해서 저장하는 건가요?처음 dictionary를 만들 때 distinct value가 많거나 dictionary에 새로운 value가 들어오게 되면 sort하는 비용이 발생할텐데, 이로 인한 비용보다 sort해서 유지했을 때의 장점이 더 큰가요?",posted,Lecture 1: Course Introduction,1,2023. 3. 28 오후 4:19:00,Storage,1,
27,68,[assn2 pgAdmin4 오류] data import 시 에러가 지속적으로 발생합니다.,"csv 파일 import를 위해 각 컬럼과 데이터타입을 할당한 테이블을 형성하였고, data import 시 header, encoding 전부 확인하였고, copy command 로도 시도해보았는데 계속 import가 안되어서요.오류메시지 없이 fail로만 나오는데 혹시 어떻게 해결하면 좋을까요? 확인 후 답변부탁드립니다. 정재원 올림",posted,Lecture 1: Course Introduction,1,2023. 3. 29 오후 8:21:00,pgAdmin,1,
28,72,과제 재제출시 파일 이름 자동변경 관련 문의,"안녕하세요.과제2의 파일명을 specification에 따라""2023-00000.pdf""라고 하여 제출하였으나, 재제출로 인해 파일 이름이""2023-00000-2.pdf""로 자동변환되었습니다.이에 관련하여 문제되는 사항이 있을까요?감사합니다.",posted,Lecture 1: Course Introduction,1,2023. 3. 30 오전 2:56:00,과제2,1,
29,74,과제2 관련 문의드립니다.,안녕하세요.제 컴퓨터에서 postgresql이 실행이 안되는데혹시 과제를  mysql로 작성해서 제출해도 괜찮을까요?,posted,Lecture 1: Course Introduction,1,2023. 3. 31 오전 8:34:00,과제2,1,
30,76,과제 2 관련 질문드립니다,"안녕하세요과제 2번 관련하여 궁금한 점이 있어 질문 드립니다.5 requirements가 5개의 unique queries에 포함이 되어야 한다고 하셨는데example과 같이 각각 따로 조건을 만족하는 쿼리 5개를 짜야 하는 걸까요?제 경우에는 5개의 unique queries가 있고, 각 query는 적어도 요구 사항이 1개 이상(ex. aggregate, join, nested query가 모두 사용되는 query)은 겹치게 되어 질문 드립니다.또한 view나 with같은 임시 table도 사용 가능한지 여부와 5개 쿼리만 생성해야 하는지(그 이상도 가능한지) 궁금합니다.감사합니다.",posted,Lecture 1: Course Introduction,1,2023. 3. 31 오후 11:01:00,과제2,1,
31,78,[과제2] 스크린샷 제시 관련 질문,안녕하세요?과제 2번에서 스크린샷 제시 질문이 있습니다. 스크린샷 생성 시 전체 결과가 다 나오도록  제시해야할까요?(쿼리 결과가 많은 경우.. 여러번의 스크린샷이 필요해서 불필요하게 리포트 페이지가 늘어나는것같아요..^^;)(작성한 sql이 정상적으로 수행되어 결과가 나타난다는 것을 보여주기 위해)아니면 결과의 일부분을 보여줘도 상관없을까요?답변 부탁드립니다.감사합니다.,posted,Lecture 1: Course Introduction,1,2023. 4. 2 오후 12:01:00,과제2,1,
32,80,csv import 에러,안녕하세요시험삼아 올려주신 csv 파일을 업로드 하려니까 위와 같은 에러가뜹니다.preference - binary paths 에서 $DIR/../../bin 로 설정했는데 무엇이 문제인지 잘 모르겠습니다. 감사합니다.,posted,Lecture 1: Course Introduction,1,2023. 4. 2 오후 10:24:00,DBeaver,1,
33,95,to use join - arbitrary tables?,"안녕하세요 join을 쓰려면 2개이상의 테이블이 있어야 하는 걸로 이해하고 있습니다.하지만 제가 다운 받은 csv의 다이어그램을 보니까 테이블이 1개가 있는데, 이 경우는 제가 임의로 다른 테이블을 만들어야 하나요?아니면, lecture5에서 SELECT sname, gpa FROM Students WHERE gpa > 3.5; 저 쿼리를 넣는게 새로운 relation을 만드는 거라고 하셨는데, 한편으로는 select는 데이터를 변환하는 건 아니라고  하신 말씀이 기억이나서 헷갈려서 질문 드립니다. 또 저 쿼리가 보여주는 것은 어차피 없어질 건데, 이게 새로운 relation을 만드는 거라고 하신 것도 잘 이해가 가지 않습니다.감사합니다! ",posted,Lecture 1: Course Introduction,1,2023. 4. 3 오전 11:41:00,Query,1,
34,97,lecture 10 Indexing 에 Hashing 질문입니다,"1번과 2번이 같은 방법이 맞나요? 1번은 왼쪽으로 bit를 5번 옮기는 것으로 보여 원래 h(x)에 32를 곱한 것으로 보이고, 2번은 각 자리수를 32진법으로 표현한 것으로 보여 shift와는 다르다고 생각합니다.감사합니다.",posted,Lecture 10: Indexing (2),16,2023. 4. 6 오후 9:45:00,Indexing,1,
35,99,B tree 관련 질문,"안녕하세요! B tree order 정의에 대해 문의드립니다.Lecture 9 Indexing(1) 자료 p.10의 트리는 capacity=4(order=2) 성질을 가지고 있다 명시되어 있습니다.검색을 하니 B-tree order를 capacity + 1 (=maximum number of children) 으로 정의하는 것 같습니다. Order는 어떻게 정의되나요?올려주신 indexing visualization 사이트에서는 max. degree를 사용하는데, degree랑 order는 어떻게 다른지 궁금합니다.감사합니다.",posted,Lecture 9: Indexing (1),10,2023. 4. 7 오후 2:51:00,Indexing,1,
36,101,Correlated Sub-Query 개념 질문,"우선 개념적으로는Cid 별 최고 gpa를 나타내는 table (nested query)가 존재한다. outer query에서 각 column은 자신의 cid와 gpa 정보를 토대로 nested query의 각 cid별 최고 gpa값과 비교한다.cid가 동일한 상황에서, 자신의 gpa가 nested query의 gpa보다 크거나 같으면 해당 column의 정보 (e.cid, s.sname, s.gpa)를 추출한다.이렇게 이해가 됩니다.  이때, 1번의 경우는    (select max(gpa) from students natural join enrollment group by enrollment.cid)를 통해 획득할 수 있는 것을 압니다.  그런데, 해당 예제의 경우에는 group by를 사용한 table에서 값을 비교하거나 하는 것이 아니라, (where e.cid = e2.cid) 구문을 통해각 cid별 max(gpa)를 가진 column의 정보를 추출합니다. 제가 correlated sub query의 동작 기작에 대한 이해가 부족한 것 같은데,조금 자세히 풀어서 설명해주실 수 있으실까요? 왜 nested query 부분만으로 (group by 없이) 각 cid별 max(gpa)가 추출이 되는 지 모르겠고Outer query에서도 group by 절이 없음에도 각 cid별 gpa를 비교할 수 있는지도 이해가 안 됩니다.—-select    e.cid, s.sname, s.gpa from    students s    natural join enrollment e where s.gpa >=    (select               max(gpa)    from              students s2 natural join enrollment e2    where e.cid = e2.cid)",posted,Lecture 1: Course Introduction,1,2023. 4. 7 오후 8:23:00,Query,1,
37,105,sql_exercise Q11관련 질문드립니다.,"안녕하세요. Q11. Write an SQL query that returns the earliest class time slot of each student. Note that you can use the ‘min()’ function to a VARCHAR column.위  excercise 문제 관련하여 궁금한 점이 있어 문의글 올립니다.Each student의 earliest class time slot을 select하는 연습문제를 each student including both who is enrolled at least one course or no course at all로 이해하여 아래와 같은 query를 작성했습니다.  Q2, Q12의 경우에도, in case there is a student not enrolled any course -> null value가 나오도록 query를 작성하여야하고 그렇지 않은 경우 옳지 못한 답이 된다고 생각했고 이와 유사하게 Q11문제도 해석하여 풀었는데요. Answer에는 student not taking any course thus not having any earliest class time이 제외되어 헷갈립니다.어떤 경우에 null도 포함하여야 하는 지 혹은 포함하지 않아야하는지 기준이 궁금합니다. ",posted,Lecture 1: Course Introduction,1,2023. 4. 9 오전 10:52:00,Query,1,
38,108,B+ tree 관련하여 질문드립니다.,"안녕하세요 교수님, B+ tree 사례를 공부하다 질문이 있어 문의글을 남깁니다.2,3,5,7,11,19,23,29,31을 차례로 degree = 4인 b+ tree에 insert하는 문제인데요.마지막에 31을 insert할 때, 아래와 같이 11이 root로 올라가는 경우와 19가 root로 올라가는 경우 2개 모두 가능하지 않나요? (visualization 사이트에서 구현해볼 때는 19가 위로 올라갑니다..!)만약 둘 다 가능하다면, 실제 인덱스 구현 시에는 이런 충돌을 어떻게 해결하는지도 궁금합니다.답변 부탁드립니다! 감사합니다 :)",posted,Lecture 1: Course Introduction,1,2023. 4. 9 오후 4:18:00,Indexing,1,
39,110,Variable Length record - page format 관련 질문,위 그림의 오른쪽 아래의 N이 현재 페이지에 저장된 레코드 개수를 의미하는지 혹은 페이지 내에 저장할 수 있는 전체 레코드 수를 의미하는지 여쭤보고 싶습니다.감사합니다!,posted,Lecture 1: Course Introduction,1,2023. 4. 9 오후 10:30:00,Storage,1,
40,114,sql_exercise 관련 질문,"안녕하세요, sql_exercise 관련해서 질문이 있어서 글을 올립니다.sql_exercise를 풀 때 create view를 활용해도 되나요? 아니면 'Write an SQL query'라는 문제에서 create view와 select 문을 둘 다 사용하면 여러 개의 쿼리가 되어서 안 되는 것일까요?특별히 행의 순서가 중요한 문제가 아니라면 쿼리의 결과가 올려주신 example output과 행 순서가 달라도 괜찮을까요?감사합니다!",posted,Lecture 1: Course Introduction,1,2023. 4. 10 오후 7:24:00,Query,1,
41,116,sql_exercise 관련 질문,"안녕하세요.아래 쿼리 대한 설명이 '각 논문의 제목과 마지막 저자의 이름을 출력하는 쿼리'라고 적혀있는데요.만약 한 논문에만 3순위 저자까지 있고 다른 논문들은 2저자까지만 있는 경우, 해당 쿼리에 대한 결과 값은 3순위 저자가 있는 하나의 논문의 이름과 3순위 저자의 이름이 출력될 것으로 예상됩니다.이 경우 '각 논문의 제목과 마지막 저자의 이름을 출력하는 쿼리'라는 설명이 데이터에 따라 항상 옳은 것은 아닌 것 같습니다.혹시 제가 잘못이해한 부분이 있을까요?",posted,Lecture 1: Course Introduction,1,2023. 4. 11 오전 8:35:00,Query,1,
42,118,[Lecture 03 DB design] 3NF:transitive FD에 관한 질문,"3NF를 위한 조건이 no transitive FDs 라고 이해했습니다.wikipedia에도 ""Every non-trivial functional dependency either begins with a superkey or ends with a prime attribute (attributes depend only on the primary key)[5]""라고 나와있는데요, Lecture 03 DB design 슬라이드 22p에 나와있는 아래 예시를 보면3NF를 만족하기 위해 Lecturer 정보를 위와 같이 normalizing 하였습니다. 하지만 이 예시에서는 여전히 Lid -> Lecturer -> Lecturer_Email 이라는 transitive FD가 존재하여 3NF가 되지 못한 것이 아닌가싶어 질문드립니다.혹시 제가 transitive FD를 잘못 이해하고 있을까요?",posted,Lecture 3: Database Design,22,2023. 4. 11 오후 2:13:00,DB Design,1,
43,122,시험 질문 - sql 오타 감점 및 group by 1 사용가능 문의,"안녕하세요?수강생 조윤주입니다.1.(당연한 질문인것같은데..^^;) 시험에서 sql 작성 시 오타가 있으면 틀린것으로 간주될까요?갑자기 손이 미끄러져서 스펠링이 틀리면 너무 속상할것같아서요 ㅠㅠ2.select sid, count(*) from students group by 1 ;이런식으로 group by 나 order by 뒤에 컬럼이름 대신에 (편의상) 순서를 쓰는 형태를 써도 될지 문의드립니다.3.아래 질문 답변 중 되도록이면 create view는 사용하지 말고 subquery로 작성하는 것은 권장하셨는데요.with 절도 비권장사항일까요?감사합니다.",posted,Lecture 1: Course Introduction,1,2023. 4. 11 오후 11:54:00,Query,1,
44,124,Neo4j 실행 오류,"안녕하세요! Neo4j를 실행함에 있어 계속 아래와 같은 에러가 발생하여 질문드립니다.이전에 한번 설치한적이 있었습니다. 그래서 혹시나해서 관련 파일을 모두 삭제한 다음에 실행했는데에도 똑같은 문제가 계속 나타납니다.특이한 사항으로는, Neo4j를 삭제하고, 다시 실행하려 하면, 바탕화면에 다음과 같은 폴더가 생성된다는 점입니다.(이전에 Neo4j를 설치하기 위해 필요했던 수업입니다!)",posted,Lecture 1: Course Introduction,1,2023. 4. 20 오전 10:10:00,Neo4j,2,
45,127,Neo4j 데이터베이스 생성 후 실행 오류,"DBMS Neo4j Practice can not be started due to conflicts with external processes.To fix this problem, let us change these port configurations:bolt: 7689 → 7690DB를 Create한 후 start 버튼을 눌렀을 때, 위와 같은 에러가 나오는데 혹시 어떤 점이 잘못 되어서 이런 에러가 발생하는 걸까요?설치 과정에서 특별히 복잡한 점이 없었어서 원인을 더욱 못찾겠습니다 ㅠㅠ",posted,Lecture 1: Course Introduction,1,2023. 4. 23 오후 2:38:00,Neo4j,2,
